agy_nm,fisc_yr,total_actual_all_funds,total_actual_city_funds
Administration of Children's Services,2020,2646362,948271
Administration of Children's Services,2021,2534107,818340
Administration of Children's Services,2022,2646832,1024776
Administration of Children's Services,2023,2988304,1056733
Administration of Children's Services,2024,3355053,990296
Administration of Children's Services,2025,3949113,1459016
Brooklyn Public Library,2020,119335,117286
Brooklyn Public Library,2021,118246,116654
Brooklyn Public Library,2022,118390,117195
Brooklyn Public Library,2023,130941,128202
Brooklyn Public Library,2024,128978,127402
Brooklyn Public Library,2025,141442,138274
City University of New York,2020,1255111,850225
City University of New York,2021,1159432,782491
City University of New York,2022,1231721,738783
City University of New York,2023,1269749,787440
City University of New York,2024,1281872,742175
City University of New York,2025,1409038,968672
Department for the Aging,2020,423982,277556
Department for the Aging,2021,355611,227830
Department for the Aging,2022,502583,317991
Department for the Aging,2023,494742,329333
Department for the Aging,2024,509351,369634
Department for the Aging,2025,557095,396549
Department of Buildings,2025,179537,178645
Department of Citywide Administrative Services,2020,1839808,359517
Department of Citywide Administrative Services,2021,1667278,217983
Department of Citywide Administrative Services,2022,1532712,367543
Department of Citywide Administrative Services,2023,1623652,457736
Department of Citywide Administrative Services,2024,1823493,499396
Department of Citywide Administrative Services,2025,1987500,603179
Department of Correction,2020,1287217,1265271
Department of Correction,2021,1259317,1252765
Department of Correction,2022,1391828,1384465
Department of Correction,2023,1357413,1346090
Department of Correction,2024,1277574,1260475
Department of Correction,2025,1356247,1344071
Department of Cultural Affairs,2020,209861,202902
Department of Cultural Affairs,2021,185083,179330
Department of Cultural Affairs,2022,229803,210736
Department of Cultural Affairs,2023,245009,243330
Department of Cultural Affairs,2024,222592,219804
Department of Cultural Affairs,2025,257368,253822
Department of Education,2020,28066521,14064958
Department of Education,2021,28545080,14709274
Department of Education,2022,31558009,13674102
Department of Education,2023,31505484,14484457
Department of Education,2024,33367648,14979626
Department of Education,2025,34672331,17854410
Department of Environmental Protection,2020,1382811,1254811
Department of Environmental Protection,2021,1410264,1274876
Department of Environmental Protection,2022,1449906,1344855
Department of Environmental Protection,2023,1535920,1439999
Department of Environmental Protection,2024,1622652,1522145
Department of Environmental Protection,2025,1678067,1584680
Department of Health and Mental Hygiene,2020,1860295,1002852
Department of Health and Mental Hygiene,2021,2181320,1101687
Department of Health and Mental Hygiene,2022,2613154,1089909
Department of Health and Mental Hygiene,2023,2335488,1216202
Department of Health and Mental Hygiene,2024,2344290,1086109
Department of Health and Mental Hygiene,2025,2452162,1344897
Department of Homeless Services,2020,2369187,1569837
Department of Homeless Services,2021,3044489,1408794
Department of Homeless Services,2022,2732767,1851561
Department of Homeless Services,2023,3540380,2384777
Department of Homeless Services,2024,3892169,2370836
Department of Homeless Services,2025,4306362,2619445
Department of Housing Preservation and Development,2020,1129780,294430
Department of Housing Preservation and Development,2021,1129903,275331
Department of Housing Preservation and Development,2022,1194414,283253
Department of Housing Preservation and Development,2023,1324081,391341
Department of Housing Preservation and Development,2024,1871842,862776
Department of Housing Preservation and Development,2025,1978461,783658
Department of Information Technology and Telecommunications,2020,821683,567340
Department of Information Technology and Telecommunications,2021,970733,598228
Department of Information Technology and Telecommunications,2022,924480,558560
Department of Information Technology and Telecommunications,2023,897445,665952
Department of Information Technology and Telecommunications,2024,972622,751685
Department of Information Technology and Telecommunications,2025,922303,726293
Department of Parks and Recreation,2020,567209,436494
Department of Parks and Recreation,2021,526633,389544
Department of Parks and Recreation,2022,588193,430212
Department of Parks and Recreation,2023,614286,492648
Department of Parks and Recreation,2024,639005,527590
Department of Parks and Recreation,2025,650778,571210
Department of Sanitation,2020,2103205,1695294
Department of Sanitation,2021,2378700,1274026
Department of Sanitation,2022,2040331,1550402
Department of Sanitation,2023,1919278,1869914
Department of Sanitation,2024,1977801,1560069
Department of Sanitation,2025,2057939,1842937
Department of Small Business Services,2020,340110,153196
Department of Small Business Services,2021,227011,169872
Department of Small Business Services,2022,513200,146691
Department of Small Business Services,2023,364135,255344
Department of Small Business Services,2024,284368,197380
Department of Small Business Services,2025,276981,192375
Department of Social Services,2020,10555945,8431217
Department of Social Services,2021,10093485,7678577
Department of Social Services,2022,10964994,8736914
Department of Social Services,2023,11126992,8882742
Department of Social Services,2024,12448781,9357471
Department of Social Services,2025,13167354,10331892
Department of Transportation,2020,1094127,615486
Department of Transportation,2021,1142242,662780
Department of Transportation,2022,1235382,744935
Department of Transportation,2023,1385386,827855
Department of Transportation,2024,1471076,871792
Department of Transportation,2025,1565366,893608
Department of Youth Services & Community Development,2020,955158,704456
Department of Youth Services & Community Development,2021,859389,452062
Department of Youth Services & Community Development,2022,971568,656137
Department of Youth Services & Community Development,2023,1126489,857660
Department of Youth Services & Community Development,2024,1291699,1042372
Department of Youth Services & Community Development,2025,1349303,1199774
Fire Department,2020,2174497,1668796
Fire Department,2021,2235372,1692487
Fire Department,2022,2486020,2244388
Fire Department,2023,2552200,2242632
Fire Department,2024,2719838,2393141
Fire Department,2025,2843794,2500652
New York Public Library,2020,157377,155727
New York Public Library,2021,158498,154571
New York Public Library,2022,159893,154472
New York Public Library,2023,174642,171044
New York Public Library,2024,167718,166472
New York Public Library,2025,185733,180999
Pensions,2020,9784042,9639763
Pensions,2021,0,0
Pensions,2022,9711376,9567097
Pensions,2023,9100317,8956038
Pensions,2024,9327699,9183420
Police Department,2020,6086160,5281155
Police Department,2021,5542435,5059176
Police Department,2022,5881307,4807033
Police Department,2023,6310785,5779812
Police Department,2024,6627307,6129582
Police Department,2025,6870190,6267557
Queens Public Library,2020,123715,122209
Queens Public Library,2021,122444,121518
Queens Public Library,2022,122092,121179
Queens Public Library,2023,134549,133511
Queens Public Library,2024,132414,131169
Queens Public Library,2025,144558,143291
Research Libraries,2020,31021,31021
Research Libraries,2021,30691,30691
Research Libraries,2022,30652,30652
Research Libraries,2023,32989,32989
Research Libraries,2024,32466,32466
Research Libraries,2025,35836,35836
