fiscal_year,publication_date,n_rows
2017,20160426,31459
2017,20160615,32168
2018,20170124,30053
2018,20170426,31919
2018,20170606,32476
2019,20180201,30727
2019,20180426,32251
2019,20180614,33131
2020,20190207,34945
2020,20190425,36277
2020,20190619,37738
2021,20200116,35587
2021,20200416,37133
2021,20200630,38017
2022,20210114,34506
2022,20210426,35842
2022,20210630,36994
2023,20220216,36915
2023,20220426,38057
2023,20220614,38776
2024,20230112,36801
2024,20230426,38408
2024,20230630,39472
2025,20240116,36388
2025,20240424,38189
2025,20240630,38988
2026,20250116,37346
2026,20250501,38820
2026,20250630,39642
2027,20260217,31881
2027,20260512,33119
2027,20260630,33653
